amada,26,17,0,8,6,12,7,38
amado,22,13,2,5,7,15,1,19
amam,3,0,0,0,0,2,4,1
amamos,8,3,0,0,0,1,0,9
amando,70,22,0,7,10,20,13,48
amanha,6,0,0,7,5,5,3,1
amanhece,3,2,0,2,7,4,3,13
amanhecendo,3,3,0,2,2,4,2,1
amanhecer,49,11,0,9,20,20,21,60
amanheceu,13,6,0,0,0,1,1,6
amanhã,50,26,1,11,6,14,10,21
amante,18,7,1,1,1,5,2,17
amantes,11,5,0,0,1,5,0,5
amar,645,195,19,24,74,110,126,547
amarei,10,6,0,0,0,1,0,2
amarela,7,2,1,4,7,11,5,5
amarelo,7,1,0,2,5,4,6,5
amarga,2,0,1,5,2,3,2,4
amargo,7,0,0,2,4,1,1,5
amargura,5,2,0,0,3,2,4,1
amarra,2,2,0,2,0,4,1,2
amarrado,2,2,0,6,2,1,5,3
amarrar,13,4,0,2,3,1,1,6
amarro,3,6,0,0,0,0,5,7
amas,3,1,0,0,1,0,2,8
amava,41,17,0,0,11,8,7,33
amazonas,1,1,0,1,2,2,2,1
ambiente,2,1,0,3,4,3,1,1
ambição,1,1,0,2,1,0,2,3
ame,21,9,0,1,1,2,4,24
amei,110,32,3,9,10,13,7,71
amendoim,0,1,0,3,1,2,3,1
americana,1,0,0,1,0,2,2,5
americano,0,1,0,3,2,2,2,4
amiga,29,14,0,2,4,5,8,23
amigas,23,20,2,0,0,0,0,5
amigo,101,32,3,37,33,38,31,74
amigos,76,43,2,6,11,14,7,38
amizade,16,7,0,6,9,9,7,9
amo,301,91,3,8,14,41,42,282
amor,1685,535,39,247,366,538,489,1482
amores,23,13,0,9,5,7,8,13
amorzinho,6,4,1,1,0,1,3,3
amou,58,23,1,3,1,6,3,37
amparo,1,1,0,1,1,4,0,1
amém,0,1,0,3,0,5,0,2
ana,11,0,0,5,6,1,1,5
anda,42,25,2,18,30,19,30,40
andam,5,0,0,1,3,5,0,1
andando,26,4,1,7,11,6,5,17
andar,38,11,0,20,27,23,15,21
andava,12,5,0,5,2,9,5,12
andei,16,6,0,6,10,13,12,9
ando,40,7,0,6,12,17,12,23
